"","ID1","ID2","realHWI","quantile975","affiliation975","medianHWI","meanHWI","HRO","relatedness","kintype","parent_offspring","agediff","yrsoverlap","adult_yrsoverlap","joint_sightings"
"8457","ID044","ID079",0.0434782608695652,0.114285714,FALSE,0,0.0266298992948956,0.968182088966446,0.3058,"maternal","N",8,7,NA,42
"8459","ID079","ID044",0.0434782608695652,0.114285714,FALSE,0,0.0266298992948956,0.968182088966446,0.3058,"maternal","N",8,7,NA,42
"8461","ID080","ID044",0.0588235294117647,0.083333333,FALSE,0,0.0140335255982011,0.853618158983897,0.151,"maternal","N",22,6,NA,27
"8463","ID044","ID080",0.0588235294117647,0.083333333,FALSE,0,0.0140335255982011,0.853618158983897,0.151,"maternal","N",22,6,NA,27
"8465","ID081","ID044",0,0,FALSE,0,0.000973261655157488,0.115952880520422,0,"unrelated","N",30,7,NA,47
"8467","ID044","ID081",0,0,FALSE,0,0.000973261655157488,0.115952880520422,0,"unrelated","N",30,7,NA,47
"8469","ID044","ID083",0,0.058823529,FALSE,0,0.00810222220324274,0.572691922180904,0,"unrelated","N",6,7,NA,47
"8471","ID083","ID044",0,0.058823529,FALSE,0,0.00810222220324274,0.572691922180904,0,"unrelated","N",6,7,NA,47
"8473","ID044","ID084",0,0.02632456095,FALSE,0,0.000852476514558661,0.159307570365513,0,"unrelated","N",7,7,NA,46
"8475","ID084","ID044",0,0.02632456095,FALSE,0,0.000852476514558661,0.159307570365513,0,"unrelated","N",7,7,NA,46
"8477","ID044","ID086",0,0.026666667,FALSE,0,0.00183962031767333,0.202375058944691,0,"unrelated","N",4,7,NA,77
"8479","ID086","ID044",0,0.026666667,FALSE,0,0.00183962031767333,0.202375058944691,0,"unrelated","N",4,7,NA,77
"8481","ID087","ID044",0,0,FALSE,0,0.000384540917271988,0.065399131396044,0,"unrelated","N",9,7,NA,159
"8483","ID044","ID087",0,0,FALSE,0,0.000384540917271988,0.065399131396044,0,"unrelated","N",9,7,NA,159
"8485","ID044","ID089",0,0,FALSE,0,4.25531914893617e-05,0.0756245503312769,0,"unrelated","N",19,7,NA,39
"8487","ID089","ID044",0,0,FALSE,0,4.25531914893617e-05,0.0756245503312769,0,"unrelated","N",19,7,NA,39
"8489","ID044","ID091",0,0,FALSE,0,0.000106916348335113,0.0529722103540658,0,"unrelated","N",1,7,NA,76
"8491","ID091","ID044",0,0,FALSE,0,0.000106916348335113,0.0529722103540658,0,"unrelated","N",1,7,NA,76
"8493","ID044","ID092",0,0.000574712649999477,FALSE,0,0.000711088798101615,0.167446273813498,0,"unrelated","N",5,7,NA,74
"8495","ID092","ID044",0,0.000574712649999477,FALSE,0,0.000711088798101615,0.167446273813498,0,"unrelated","N",5,7,NA,74
"8497","ID093","ID044",0,0,FALSE,0,0.00110830041925588,0.160139886215856,0.0148,"unrelated","N",18,7,NA,38
"8499","ID044","ID093",0,0,FALSE,0,0.00110830041925588,0.160139886215856,0.0148,"unrelated","N",18,7,NA,38
"8501","ID044","ID095",0,0.102564103,FALSE,0,0.0224713444727669,0.974035336214142,0.0509,"distant","N",17,7,NA,36
"8503","ID095","ID044",0,0.102564103,FALSE,0,0.0224713444727669,0.974035336214142,0.0509,"distant","N",17,7,NA,36
"8505","ID044","ID097",0,0.121212121,FALSE,0,0.0249050157487219,0.950775389948243,0.3337,"maternal","N",35,5,NA,27
"8507","ID097","ID044",0,0.121212121,FALSE,0,0.0249050157487219,0.950775389948243,0.3337,"maternal","N",35,5,NA,27
"8509","ID098","ID044",0,0.0328005462,FALSE,0,0.00112857949334583,0.166548188978454,0.014,"unrelated","N",9,7,NA,52
"8511","ID044","ID098",0,0.0328005462,FALSE,0,0.00112857949334583,0.166548188978454,0.014,"unrelated","N",9,7,NA,52
"8513","ID044","ID099",0,0,FALSE,0,0.000318920200761633,0.092646360005172,0.0104,"unrelated","N",20,7,NA,59
"8515","ID099","ID044",0,0,FALSE,0,0.000318920200761633,0.092646360005172,0.0104,"unrelated","N",20,7,NA,59
"8517","ID044","ID100",0,0,FALSE,0,0.000807799500958141,0.15445464263107,0,"unrelated","N",21,7,NA,47
"8519","ID100","ID044",0,0,FALSE,0,0.000807799500958141,0.15445464263107,0,"unrelated","N",21,7,NA,47
"8521","ID044","ID102",0,0.102631579375,FALSE,0,0.021473616098336,0.961864851687097,0.0653,"distant","N",16,7,NA,36
"8523","ID102","ID044",0,0.102631579375,FALSE,0,0.021473616098336,0.961864851687097,0.0653,"distant","N",16,7,NA,36
"8525","ID104","ID044",0,0,FALSE,0,0.000382147619096811,0.065015292248971,0,"unrelated","N",9,7,NA,39
"8527","ID044","ID104",0,0,FALSE,0,0.000382147619096811,0.065015292248971,0,"unrelated","N",9,7,NA,39
"8529","ID044","ID105",0,0.013988476325,FALSE,0,0.000722029505316968,0.0621236165568517,0,"unrelated","N",10,7,NA,170
"8531","ID105","ID044",0,0.013988476325,FALSE,0,0.000722029505316968,0.0621236165568517,0,"unrelated","N",10,7,NA,170
"8533","ID044","ID107",0,0.033898305,FALSE,0,0.00479503755269739,0.400417528945094,0.0289,"unrelated","N",33,7,NA,55
"8535","ID107","ID044",0,0.033898305,FALSE,0,0.00479503755269739,0.400417528945094,0.0289,"unrelated","N",33,7,NA,55
"8537","ID044","ID108",0,0.066666667,FALSE,0,0.0096077244519714,0.655589119553213,0.0594,"distant","N",11,7,NA,44
"8539","ID108","ID044",0,0.066666667,FALSE,0,0.0096077244519714,0.655589119553213,0.0594,"distant","N",11,7,NA,44
"8541","ID044","ID110",0,0.021505376,FALSE,0,0.00123554914096439,0.193136434717189,0,"unrelated","N",2,7,NA,143
"8543","ID110","ID044",0,0.021505376,FALSE,0,0.00123554914096439,0.193136434717189,0,"unrelated","N",2,7,NA,143
"8545","ID112","ID044",0,0,FALSE,0,0.000198292244478685,0.0459881532689054,0,"unrelated","N",16,7,NA,58
"8547","ID044","ID112",0,0,FALSE,0,0.000198292244478685,0.0459881532689054,0,"unrelated","N",16,7,NA,58
"8549","ID044","ID113",0,0,FALSE,0,0.000578082814379501,0.107973639836806,0,"unrelated","N",5,7,NA,43
"8551","ID113","ID044",0,0,FALSE,0,0.000578082814379501,0.107973639836806,0,"unrelated","N",5,7,NA,43
"8553","ID044","ID114",0,0,FALSE,0,0.000512749650582302,0.148600986958465,0,"unrelated","N",13,7,NA,138
"8555","ID114","ID044",0,0,FALSE,0,0.000512749650582302,0.148600986958465,0,"unrelated","N",13,7,NA,138
"8557","ID116","ID044",0.0833333333333333,0.033333333,TRUE,0,0.00528081907752902,0.561368361818267,0.0172,"unrelated","N",0,7,NA,66
"8559","ID044","ID116",0.0833333333333333,0.033333333,TRUE,0,0.00528081907752902,0.561368361818267,0.0172,"unrelated","N",0,7,NA,66
"8561","ID044","ID117",0,0.013612528175,FALSE,0,0.000443809363572306,0.0350330745603658,0.0143,"unrelated","N",28,7,NA,126
"8563","ID117","ID044",0,0.013612528175,FALSE,0,0.000443809363572306,0.0350330745603658,0.0143,"unrelated","N",28,7,NA,126
"8565","ID118","ID044",0,0,FALSE,0,0.000461448226830843,0.0866712917870687,0,"unrelated","N",20,7,NA,44
"8567","ID044","ID118",0,0,FALSE,0,0.000461448226830843,0.0866712917870687,0,"unrelated","N",20,7,NA,44
"8569","ID044","ID119",0,0.051282051,FALSE,0,0.00441373120966289,0.414192767775985,0.0098,"unrelated","N",25,7,NA,40
"8571","ID119","ID044",0,0.051282051,FALSE,0,0.00441373120966289,0.414192767775985,0.0098,"unrelated","N",25,7,NA,40
"8573","ID121","ID044",0,0.041666667,FALSE,0,0.00350725303665006,0.300880739491923,0.0272,"unrelated","N",14,7,NA,48
"8575","ID044","ID121",0,0.041666667,FALSE,0,0.00350725303665006,0.300880739491923,0.0272,"unrelated","N",14,7,NA,48
"8577","ID044","ID123",0,0,FALSE,0,0.000498500549128318,0.0708016923808939,0.0048,"unrelated","N",15,7,NA,57
"8579","ID123","ID044",0,0,FALSE,0,0.000498500549128318,0.0708016923808939,0.0048,"unrelated","N",15,7,NA,57
"8581","ID125","ID044",0,0.054054054,FALSE,0,0.00257221230132862,0.275745679071999,0.0044,"unrelated","N",7,7,NA,40
"8583","ID044","ID125",0,0.054054054,FALSE,0,0.00257221230132862,0.275745679071999,0.0044,"unrelated","N",7,7,NA,40
"8585","ID044","ID130",0,0.020618557,FALSE,0,0.00105765208726001,0.167249349341119,0.0051,"unrelated","N",23,7,NA,125
"8587","ID130","ID044",0,0.020618557,FALSE,0,0.00105765208726001,0.167249349341119,0.0051,"unrelated","N",23,7,NA,125
"8589","ID044","ID132",0,0,FALSE,0,0.000421808888704213,0.0311427697619875,0.0027,"unrelated","N",32,4,NA,86
"8591","ID132","ID044",0,0,FALSE,0,0.000421808888704213,0.0311427697619875,0.0027,"unrelated","N",32,4,NA,86
"8593","ID134","ID044",0,0,FALSE,0,3.33333333333333e-05,0.0079482936511569,0,"unrelated","N",17,7,NA,48
"8595","ID044","ID134",0,0,FALSE,0,3.33333333333333e-05,0.0079482936511569,0,"unrelated","N",17,7,NA,48
"8597","ID044","ID135",0,0.039215686,FALSE,0,0.00749100976081315,0.521694566882997,0.0106,"unrelated","N",7,7,NA,69
"8599","ID135","ID044",0,0.039215686,FALSE,0,0.00749100976081315,0.521694566882997,0.0106,"unrelated","N",7,7,NA,69
"8601","ID044","ID137",0,0.015625,FALSE,0,0.00061728245221299,0.0703283091079725,0.0194,"unrelated","N",13,7,NA,139
"8603","ID137","ID044",0,0.015625,FALSE,0,0.00061728245221299,0.0703283091079725,0.0194,"unrelated","N",13,7,NA,139
"8605","ID044","ID140",0,0,FALSE,0,6.89655172413793e-05,0.0162835918451422,0,"unrelated","N",11,5,NA,35
"8607","ID140","ID044",0,0,FALSE,0,6.89655172413793e-05,0.0162835918451422,0,"unrelated","N",11,5,NA,35
"8609","ID141","ID044",0,0,FALSE,0,0.000128571428571429,0.00450270281219327,0,"unrelated","N",13,7,NA,48
"8611","ID044","ID141",0,0,FALSE,0,0.000128571428571429,0.00450270281219327,0,"unrelated","N",13,7,NA,48
"8613","ID142","ID044",0,0.044444444,FALSE,0,0.0044672896011741,0.415645023761707,0,"unrelated","N",2,5,NA,43
"8615","ID044","ID142",0,0.044444444,FALSE,0,0.0044672896011741,0.415645023761707,0,"unrelated","N",2,5,NA,43
"8617","ID144","ID044",0,0,FALSE,0,0.000954993304213766,0.172784661063005,0,"unrelated","N",22,7,NA,46
"8619","ID044","ID144",0,0,FALSE,0,0.000954993304213766,0.172784661063005,0,"unrelated","N",22,7,NA,46
"8621","ID146","ID044",0,0,FALSE,0,4.76190476190476e-05,0.0141437423511834,0.0055,"unrelated","N",22,7,NA,48
"8623","ID044","ID146",0,0,FALSE,0,4.76190476190476e-05,0.0141437423511834,0.0055,"unrelated","N",22,7,NA,48
"8625","ID147","ID044",0,0,FALSE,0,0.000230312344919073,0.0683033917939551,0,"unrelated","N",16,7,NA,105
"8627","ID044","ID147",0,0,FALSE,0,0.000230312344919073,0.0683033917939551,0,"unrelated","N",16,7,NA,105
"8629","ID149","ID044",0,0,FALSE,0,9.04471544715447e-05,0.0157719656895258,0,"unrelated","N",2,5,NA,38
"8631","ID044","ID149",0,0,FALSE,0,9.04471544715447e-05,0.0157719656895258,0,"unrelated","N",2,5,NA,38
"8633","ID044","ID150",0,0.022733803825,FALSE,0,0.00117425205662936,0.153879979358978,0.0112,"unrelated","N",9,7,NA,132
"8635","ID150","ID044",0,0.022733803825,FALSE,0,0.00117425205662936,0.153879979358978,0.0112,"unrelated","N",9,7,NA,132
"8637","ID151","ID044",0,0,FALSE,0,0.000232034632034632,0.0412323766859894,0,"unrelated","N",3,4,NA,29
"8639","ID044","ID151",0,0,FALSE,0,0.000232034632034632,0.0412323766859894,0,"unrelated","N",3,4,NA,29
"8641","ID044","ID152",0,0.1,FALSE,0,0.0188512427940115,0.917118005187886,0,"unrelated","N",15,7,NA,31
"8643","ID152","ID044",0,0.1,FALSE,0,0.0188512427940115,0.917118005187886,0,"unrelated","N",15,7,NA,31
"8645","ID044","ID153",0,0.01408700425,FALSE,0,0.00067558925217697,0.0337256421473812,0,"unrelated","N",0,7,NA,177
"8647","ID153","ID044",0,0.01408700425,FALSE,0,0.00067558925217697,0.0337256421473812,0,"unrelated","N",0,7,NA,177
