"Observation.ID","Date","Dolphin.ID","Age"
21461,2015-12-02,"ID165",8
21836,2016-08-14,"ID159",30
21836,2016-08-14,"ID130",32
21836,2016-08-14,"ID114",22
25169,2018-08-08,"ID049",18
25708,2019-07-01,"ID087",21
25708,2019-07-01,"ID110",14
25708,2019-07-01,"ID008",22
25708,2019-07-01,"ID114",25
25708,2019-07-01,"ID150",21
26072,2019-07-01,"ID027",49
17736,2010-10-17,"ID052",16
18220,2011-12-11,"ID093",22
19042,2013-08-05,"ID091",7
20347,2015-04-28,"ID029",16
20627,2015-06-14,"ID105",18
21258,2015-09-17,"ID098",17
21258,2015-09-17,"ID091",9
25552,2019-05-15,"ID102",28
25552,2019-05-15,"ID019",11
16274,2007-06-02,"ID114",13
17688,2010-09-24,"ID029",11
18175,2011-11-24,"ID114",17
18938,2013-07-09,"ID163",22
19399,2013-11-09,"ID097",41
20528,2015-06-04,"ID121",22
20554,2015-06-06,"ID105",17
20554,2015-06-06,"ID020",22
20554,2015-06-06,"ID063",39
20554,2015-06-06,"ID137",21
20729,2015-06-25,"ID006",9
22644,2017-12-04,"ID015",19
22644,2017-12-04,"ID002",20
25735,2019-07-07,"ID114",25
25990,2019-10-18,"ID176",19
16459,2007-07-26,"ID140",11
16459,2007-07-26,"ID146",22
16459,2007-07-26,"ID099",20
16459,2007-07-26,"ID013",17
16459,2007-07-26,"ID055",18
16459,2007-07-26,"ID053",7
16459,2007-07-26,"ID106",36
16459,2007-07-26,"ID046",23
16498,2008-06-06,"ID012",36
17049,2009-07-23,"ID172",30
17049,2009-07-23,"ID135",9
19237,2013-10-13,"ID162",5
19818,2014-07-13,"ID175",15
20240,2014-12-11,"ID162",6
20444,2015-05-21,"ID113",13
20570,2015-06-10,"ID143",17
24645,2018-06-30,"ID073",46
25890,2019-06-12,"ID096",28
16523,2008-06-17,"ID092",6
17170,2009-09-17,"ID118",22
20893,2015-07-22,"ID123",23
20893,2015-07-22,"ID118",28
21416,2015-10-27,"ID027",45
21416,2015-10-27,"ID171",14
22039,2016-10-13,"ID086",13
22083,2017-05-17,"ID129",5
24756,2018-07-09,"ID056",22
16578,2008-06-29,"ID090",11
18374,2012-07-07,"ID109",28
21338,2015-10-02,"ID059",4
21338,2015-10-02,"ID087",17
21338,2015-10-02,"ID049",15
21338,2015-10-02,"ID057",29
16404,2007-07-07,"ID098",9
16404,2007-07-07,"ID010",28
16914,2009-06-21,"ID075",13
16914,2009-06-21,"ID155",37
17268,2009-10-24,"ID147",18
17268,2009-10-24,"ID071",35
18100,2011-10-16,"ID013",21
18165,2011-11-23,"ID064",8
18165,2011-11-23,"ID153",4
18165,2011-11-23,"ID063",35
18388,2012-07-08,"ID115",14
18388,2012-07-08,"ID152",20
18398,2012-07-15,"ID153",5
18398,2012-07-15,"ID130",28
18398,2012-07-15,"ID162",4
18398,2012-07-15,"ID104",13
18398,2012-07-15,"ID150",14
18398,2012-07-15,"ID049",12
21867,2016-08-30,"ID159",30
21872,2016-09-04,"ID054",30
24800,2018-07-20,"ID087",20
24800,2018-07-20,"ID114",24
24800,2018-07-20,"ID150",20
24815,2018-07-23,"ID042",42
25809,2019-09-25,"ID177",26
16673,2008-07-14,"ID020",16
17885,2011-06-16,"ID105",14
17885,2011-06-16,"ID020",19
18260,2012-06-14,"ID007",14
18260,2012-06-14,"ID093",23
21306,2015-09-24,"ID049",15
22764,2018-06-25,"ID061",12
16737,2008-08-11,"ID060",29
16869,2009-06-08,"ID002",12
16869,2009-06-08,"ID168",14
18028,2011-09-15,"ID146",26
18028,2011-09-15,"ID022",29
18028,2011-09-15,"ID123",19
18028,2011-09-15,"ID169",10
18028,2011-09-15,"ID066",18
18028,2011-09-15,"ID013",21
18028,2011-09-15,"ID118",24
18028,2011-09-15,"ID055",22
18028,2011-09-15,"ID053",11
18028,2011-09-15,"ID106",40
18604,2012-09-20,"ID101",17
18815,2013-06-12,"ID097",41
18815,2013-06-12,"ID090",16
18815,2013-06-12,"ID170",27
19278,2013-10-18,"ID021",13
19278,2013-10-18,"ID035",16
19626,2014-06-10,"ID159",28
20252,2014-12-23,"ID144",29
20848,2015-07-03,"ID064",12
20848,2015-07-03,"ID153",8
25319,2018-11-02,"ID158",31
25734,2019-07-07,"ID059",8
17229,2009-10-15,"ID108",13
17941,2011-07-12,"ID091",5
18469,2012-08-03,"ID116",5
21934,2016-09-25,"ID021",16
22468,2017-10-06,"ID021",17
22664,2017-12-08,"ID020",25
22664,2017-12-08,"ID063",41
22664,2017-12-08,"ID004",6
26267,2019-11-08,"ID086",16
16251,2007-05-22,"ID078",26
16251,2007-05-22,"ID038",26
16251,2007-05-22,"ID028",34
16251,2007-05-22,"ID056",11
16251,2007-05-22,"ID152",15
18299,2012-06-24,"ID153",5
18299,2012-06-24,"ID020",20
18436,2012-07-23,"ID079",13
18972,2013-07-22,"ID008",16
19260,2013-10-17,"ID015",15
19993,2014-09-26,"ID157",26
19993,2014-09-26,"ID171",13
